BULUT TEKNOLOJİ,,,,,,,,,,,

Ürün Türü,Ürün Açıklaması,Ürün Adeti, Alış Fiyatı , Dolar Kuru , TL (₺) Bazında Fiyat , + KDV,KDV Fiyatı,KDV'li Fiyat, Satış Fiyatı , Kar ,Durumu
Kamera,SECUZI SZCH-2020T,80, $9.00 , $7.61 ," ₺5,479.20 ",18.00%, ₺986.26 ," ₺6,465.46 ",,"-₺6,465.46 ",
VGA Kablo,"1,5 m ",2, $3.35 , $7.63 , ₺51.12 ,18.00%, ₺9.20 , ₺60.32 ,,-₺60.32 ,
Power,ThermalTake Lite Power RGB 550W,1, $65.55 , $7.63 , ₺500.15 ,18.00%, ₺90.03 , ₺590.17 , ₺769.00 , ₺178.83 ,Satıldı
Power,PowerBoost 300W,1,,, ₺126.00 ,18.00%, ₺22.68 , ₺148.68 , ₺220.00 , ₺71.32 ,
Power,Comcort 350 W,1,,, ₺100.00 ,18.00%, ₺18.00 , ₺118.00 , ₺170.00 , ₺52.00 ,
Power ,PowerBoost Fury 550W,1,,, ₺328.00 ,18.00%, ₺59.04 , ₺387.04 , ₺500.00 , ₺112.96 ,
Power,PowerBoost 650 W + 80Bronze,1,,, ₺500.00 ,18.00%, ₺90.00 , ₺590.00 , ₺800.00 , ₺210.00 ,
Modem,TP Link Archer AC1200Mpbs FİBER,1,,, ₺406.00 ,18.00%, ₺73.08 , ₺479.08 , ₺600.00 , ₺120.92 ,
Modem,TP Link W8961N,1,,, ₺188.00 ,18.00%, ₺33.84 , ₺221.84 , ₺320.00 , ₺98.16 ,
Access point,TP Link WA854RE Menzil Genişletici,1,,, ₺138.00 ,18.00%, ₺24.84 , ₺162.84 , ₺230.00 , ₺67.16 ,
Modem,Keenetic FİBER,1,,, ₺297.00 ,18.00%, ₺53.46 , ₺350.46 , ₺480.00 , ₺129.54 ,
Klavye,Rampage KB-R79,1,,, ₺139.00 ,18.00%, ₺25.02 , ₺164.02 , ₺250.00 , ₺85.98 ,
Klavye+Mouse Set,Trust GXT838,1,,, ₺149.00 ,18.00%, ₺26.82 , ₺175.82 , ₺280.00 , ₺104.18 ,
Klavye+Mouse Set,Rampage KM-RX9,1,,, ₺159.00 ,18.00%, ₺28.62 , ₺187.62 , ₺320.00 , ₺132.38 ,
Mouse,GamePower Icarus,1,,, ₺178.00 ,18.00%, ₺32.04 , ₺210.04 , ₺275.00 , ₺64.96 ,
Mouse+Mouse Pad,Bloody A9081,1,,, ₺249.00 ,18.00%, ₺44.82 , ₺293.82 , ₺350.00 , ₺56.18 ,
Laptop Fan,Addison ANC-606,1,,, ₺83.00 ,18.00%, ₺14.94 , ₺97.94 , ₺130.00 , ₺32.06 ,
Switch,8 Port Mercussy ,2,,, ₺62.00 ,18.00%, ₺11.16 , ₺73.16 , ₺120.00 , ₺46.84 ,
Switch,5 Port Mercussy,3,,, ₺51.00 ,18.00%, ₺9.18 , ₺60.18 , ₺100.00 , ₺39.82 ,
Lenova Adaptör,,1,,, ₺-   ,18.00%, ₺-   , ₺-   , ₺150.00 , ₺150.00 ,
HDMI Kablo,5m,1,,, ₺23.00 ,18.00%, ₺4.14 , ₺27.14 , ₺70.00 , ₺42.86 ,
HDMI Kablo,1.5 m,1,,, ₺14.00 ,18.00%, ₺2.52 , ₺16.52 , ₺35.00 , ₺18.48 ,
Usb Bellek,Sandisk (Siyah) 32GB,1,,, ₺61.00 ,18.00%, ₺10.98 , ₺71.98 , ₺80.00 , ₺8.02 ,
Usb Uzatma,3 m ,,,, ₺18.00 ,18.00%, ₺3.24 , ₺21.24 , ₺45.00 , ₺23.76 ,
Power Kablo ,1.5 m,8,,, ₺14.00 ,18.00%, ₺2.52 , ₺16.52 , ₺25.00 , ₺8.48 ,
HDMI Kablo,3 m ,1,,, ₺23.00 ,18.00%, ₺4.14 , ₺27.14 , ₺60.00 , ₺32.86 ,
Slink Yazıcı Kablosu ,3m ,2,,, ₺20.00 ,18.00%, ₺3.60 , ₺23.60 , ₺40.00 , ₺16.40 ,
Slink Yazıcı Kablosu ,5m,2,,, ₺25.00 ,18.00%, ₺4.50 , ₺29.50 , ₺50.00 , ₺20.50 ,
Slink Yazıcı Kablosu ,1.5m,2,,, ₺10.00 ,18.00%, ₺1.80 , ₺11.80 , ₺25.00 , ₺13.20 ,
Dark Usb Uzatma,5m,1,,, ₺20.00 ,18.00%, ₺3.60 , ₺23.60 , ₺50.00 , ₺26.40 ,
SSD,Kıoxıa 240GB,3,,, ₺270.00 ,18.00%, ₺48.60 , ₺318.60 , ₺530.00 , ₺211.40 ,
Monitör,Rampage-RM344  144Hz 1Ms,1,,," ₺1,300.00 ",18.00%, ₺234.00 ," ₺1,534.00 "," ₺1,600.00 ", ₺66.00 ,
Monitör,AOC 24 LCD Monitör,,,," ₺1,350.00 ",18.00%, ₺243.00 ," ₺1,593.00 "," ₺1,700.00 ", ₺107.00 ,
,,,,, ₺-   ,18.00%, ₺-   , ₺-   , ₺-   , ₺-   ,
,,,,, ₺-   ,18.00%, ₺-   , ₺-   , ₺-   , ₺-   ,
,,,,, ₺-   ,18.00%, ₺-   , ₺-   , ₺-   , ₺-   ,
,,,,, ₺-   ,18.00%, ₺-   , ₺-   , ₺-   , ₺-   ,
,,,,, ₺-   ,18.00%, ₺-   , ₺-   , ₺-   , ₺-   ,
