Ürünler,Ürün Açıklaması,Kar
Kamera,SECUZI SZCH-2020T,"-₺6,465.46 "
VGA Kablo,"1,5 m ",-₺60.32 
Power,ThermalTake Lite Power RGB 550W, ₺178.83 
Power,PowerBoost 300W, ₺71.32 
Power,Comcort 350 W, ₺52.00 
Power ,PowerBoost Fury 550W, ₺112.96 
Power,PowerBoost 650 W + 80Bronze, ₺210.00 
Modem,TP Link Archer AC1200Mpbs FİBER, ₺120.92 
Modem,TP Link W8961N, ₺98.16 
Access point,TP Link WA854RE Menzil Genişletici, ₺67.16 
Modem,Keenetic FİBER, ₺129.54 
Klavye,Rampage KB-R79, ₺85.98 
Klavye+Mouse Set,Trust GXT838, ₺104.18 
Klavye+Mouse Set,Rampage KM-RX9, ₺132.38 
Mouse,GamePower Icarus, ₺64.96 
Mouse+Mouse Pad,Bloody A9081, ₺56.18 
Laptop Fan,Addison ANC-606, ₺32.06 
Switch,8 Port Mercussy , ₺46.84 
Switch,5 Port Mercussy, ₺39.82 
Lenova Adaptör,, ₺150.00 
HDMI Kablo,5m, ₺42.86 
HDMI Kablo,1.5 m, ₺18.48 
Usb Bellek,Sandisk (Siyah) 32GB, ₺8.02 
Usb Uzatma,3 m , ₺23.76 
Power Kablo ,1.5 m, ₺8.48 
HDMI Kablo,3 m , ₺32.86 
Slink Yazıcı Kablosu ,3m , ₺16.40 
Slink Yazıcı Kablosu ,5m, ₺20.50 
Slink Yazıcı Kablosu ,1.5m, ₺13.20 
Dark Usb Uzatma,5m, ₺26.40 
SSD,Kıoxıa 240GB, ₺211.40 
Monitör,Rampage-RM344  144Hz 1Ms, ₺66.00 
Monitör,AOC 24 LCD Monitör, ₺107.00 
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
,, ₺-   
